State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
MH,Maharashtra,Pune,134913,39971,91606,3336,924,17.8,10.7,30.2,33.4,50,17.4,4.6,4,0.2,1.1
MH,Maharashtra,Mumbai,130410,17693,105193,7222,906,17.8,14.9,34,37.9,49.4,23,11.8,14,0.2,0
TN,Tamil Nadu,Chennai,119059,12106,104455,2498,1032,9.4,4.3,33.6,31.3,53.9,10.1,9.7,9.3,0.4,3
MH,Maharashtra,Thane,115923,19541,92981,3400,922,21.4,13.1,29,27.4,48.4,17.1,4.1,4.5,0.6,0
KA,Karnataka,Bangalore,94106,33081,59492,1532,898,14,8.7,32,26.1,39.6,20.5,8.3,10.9,0.4,0.7
TG,Telangana,Hyderabad,46262,45934,305,23,934,12.9,19.6,47.9,33.7,54,5.3,9,8.3,0.8,4.6
AP,Andhra Pradesh,East Godavari,42600,15254,27056,290,927,15.9,12.8,36.4,28,64.6,34.3,7.1,12.9,0.6,2.9
AP,Andhra Pradesh,Kurnool,34782,6872,27604,306,1021,21.6,13.6,24.9,31.7,54.5,26.6,5.2,2.4,0.8,2
WB,West Bengal,Kolkata,33467,6371,25986,1110,921,7.3,17.2,40.7,42.8,46.4,24.6,8.5,22.2,1.1,0.5
AP,Andhra Pradesh,Anantapur,30507,5051,25218,238,1000,20.2,20.2,26.5,28.8,52.7,22.6,6.9,8.9,0.9,3.9
GJ,Gujarat,Ahmadabad,29327,3419,24242,1666,904,21.5,25.9,30.7,26.4,62.9,26.9,6,5.4,0.4,0.5
MH,Maharashtra,Nashik,27850,10013,17144,693,1000,25.8,16.8,22.9,23.7,54.7,16.4,4.7,6.1,0.3,0
AP,Andhra Pradesh,Guntur,27810,7920,19584,306,1015,11.3,15.4,45.1,39,57.9,24.9,9.3,19,0.9,0
AP,Andhra Pradesh,Visakhapatnam,26255,5797,20242,216,1047,18.9,12.1,28.8,29,66.4,28.2,6.6,7.4,1.4,1.7
WB,West Bengal,North Twenty Four Parganas,25904,5607,19717,580,981,11.5,17.4,28.9,16.5,62.7,30,11.2,13,0.7,1.5
AP,Andhra Pradesh,West Godavari,25111,5359,19544,208,1020,14.5,15.3,40,41.3,59.9,19.2,7.6,9.9,0.9,0
AP,Andhra Pradesh,Chittoor,24907,9366,15284,257,1079,21,16.8,28.5,30.8,48.8,20.3,9,8.9,0.1,0
MH,Maharashtra,Raigarh,24049,4985,18413,649,924,21.8,18.5,27.3,21.4,53.1,13.3,6.3,11.1,0.7,0
AS,Assam,Kamrup Metropolitan,23282,8628,14599,55,964,17.3,14.2,26.3,26.5,53.8,23.7,6.5,4.3,1.3,1.7
TN,Tamil Nadu,Thiruvallur,20618,3959,16313,346,980,11.3,9.2,32.3,32,55.1,24,6.2,8.1,0.2,0.3
MH,Maharashtra,Aurangabad,18954,5929,12447,578,923,21.5,30.4,23.2,16.6,45,17.5,4.5,4.8,1,0
MH,Maharashtra,Jalgaon,18766,5390,12673,703,914,18.9,14,23.8,19.5,51.7,28.2,4.5,3.6,0.9,1.8
AP,Andhra Pradesh,Sri Potti Sriramulu Nellore,18329,5201,12973,155,1039,17,17.5,35,32,59.1,41.3,9.5,6.3,1.1,2
UP,Uttar Pradesh,Lucknow,18204,7170,10806,228,919,14.7,14.3,22.5,18.1,58.4,22.9,5.1,6.6,0.8,0.6
AP,Andhra Pradesh,Y.S.R.,18086,4456,13505,125,1034,18.7,11.3,27,40.8,57.7,18.6,8.4,18.2,0.3,1.3
GJ,Gujarat,Surat,17409,2721,14127,561,881,18.4,22.7,34.5,23.2,39,11.1,5.7,11.9,0.8,0.6
BR,Bihar,Patna,17294,3393,13794,107,964,24,17.6,19.5,15.8,57.1,28.9,3.9,6.5,0.4,0.5
AP,Andhra Pradesh,Srikakulam,15663,5220,10267,176,1028,20.5,15.2,24.4,18.9,71.8,29.3,8.3,12.4,0.9,2.2
OR,Odisha,Ganjam,15498,2244,13084,170,1111,21.5,17.7,20.9,16.4,41.3,34.5,7.7,10.9,0.6,0
KA,Karnataka,Bellary,15180,5948,9054,178,952,23.6,18.4,18.9,20.9,49.9,20,4,6.5,0.6,2.5
MH,Maharashtra,Solapur,14989,4514,9828,646,963,19,15.7,23,33.6,44.3,14.9,6.4,6.3,0.6,0
MH,Maharashtra,Nagpur,14807,7344,7063,399,1004,23,19.1,23.3,18.4,46.6,19.1,4.8,10.6,0.4,2.5
MH,Maharashtra,Kolhapur,14712,6902,7412,398,978,23.4,24.3,27.2,24.4,46.8,20.8,6.1,5,1.3,2.1
TN,Tamil Nadu,Kancheepuram,14296,2789,11321,186,964,9.5,11.9,39.2,28.3,53.4,17.5,6.4,8,0.4,1.7
MH,Maharashtra,Ahmadnagar,13671,3174,10338,159,905,22.5,23.5,18.3,20.4,46.1,17.3,4.3,5.1,0.8,0.7
AP,Andhra Pradesh,Vizianagaram,13608,6931,6551,126,1066,25.8,19.4,22.4,32.1,75.5,44.3,7.4,12,0.4,0
TN,Tamil Nadu,Madurai,12955,1057,11571,327,1007,14.9,11.8,35.5,32.3,52.5,14.3,8.4,9.5,0.6,0.7
AP,Andhra Pradesh,Prakasam,12948,4840,7923,185,1016,16.9,13.4,32.5,33.6,57.7,23.4,8.2,5,0.5,2
AP,Andhra Pradesh,Krishna,12760,2863,9665,232,1037,13.5,12.4,45.5,46.6,59.4,22.6,12.5,4.9,0.6,2
WB,West Bengal,Haora,11545,1958,9282,305,1001,16.5,20.1,25.9,17,58.1,29.3,7.1,15.3,1.1,0
KA,Karnataka,Mysore,11489,4112,7062,315,1008,19.1,10.2,29.3,20.2,45.6,9.1,5.9,7.3,0.5,1.2
TN,Tamil Nadu,Virudhunagar,11455,916,10380,159,1079,14.6,19.8,32.9,17.7,55.9,17.9,8.4,6.7,0.4,0.9
HR,Haryana,Faridabad,11236,776,10305,155,826,14.4,10.7,23.7,18.8,54.1,14.7,6.4,9.4,0.5,0.7
UP,Uttar Pradesh,Kanpur Nagar,11062,4303,6436,323,889,14.8,17.2,16.9,16.4,58.7,24.6,3.2,3.6,0.5,0.4
TN,Tamil Nadu,Theni,10484,2761,7606,117,1013,13.6,12.9,33.5,28.1,49.9,15.7,8.5,5.5,1.2,0
HR,Haryana,Gurgaon,10472,762,9580,130,812,12.5,7.1,20.2,21.8,73.2,23.1,6.5,9.5,0.9,0
KL,Kerala,Thiruvananthapuram,10431,4259,6112,39,1122,9,6.2,33.6,25.2,22.5,3.7,6.2,10.5,1.1,0
MP,Madhya Pradesh,Indore,10191,3163,6683,345,895,18.9,16.8,23.6,22.3,46.8,22.2,5.4,7.8,0.8,2.1
TN,Tamil Nadu,Thoothukkudi,10108,872,9146,90,1135,17.9,20.2,36,22.9,59,21.8,6.7,7,0.2,2.9
OR,Odisha,Khordha,9846,4412,5373,61,980,15.4,9.8,30.2,27.1,45.3,13.6,7.4,10.6,0.3,0.9
TN,Tamil Nadu,Coimbatore,9758,2622,6935,201,994,13.8,6.2,34.4,34.8,54.3,13.2,5.5,7.8,0.9,1.9
RJ,Rajasthan,Jodhpur,9531,1884,7560,87,952,20.8,17.3,18.3,18.1,44.3,15.4,3.2,8.9,0.2,1.5
KA,Karnataka,Dakshina Kannada,9296,2192,6818,284,1032,25.6,21.8,26,20.4,45.4,15.7,5.5,9,1.4,1
KA,Karnataka,Gulbarga,9265,1962,7131,172,989,22.5,20.5,14.8,18.8,43.1,14.9,3.6,8.5,0.4,0.4
WB,West Bengal,South Twenty Four Parganas,8958,1997,6821,140,1037,18.9,23.1,22.6,9.7,66.8,35.4,7.3,15.1,0.2,2.1
TN,Tamil Nadu,Tiruvannamalai,8922,1368,7427,127,1011,16.1,7,27.1,29.8,59,25.2,5.9,13.5,1.3,0.7
KA,Karnataka,Udupi,8663,2753,5830,80,1137,27.6,18.4,20.7,22.5,44.7,13.2,5.6,9.3,0.7,3.3
TN,Tamil Nadu,Vellore,8641,1217,7303,121,1036,14.4,13,34.3,26.1,55.5,19.7,8.5,10.3,0.2,0
MP,Madhya Pradesh,Bhopal,8572,1403,6921,248,899,19.1,23.5,23.5,21.7,47,23.1,4.1,7.2,0.5,0
KA,Karnataka,Belgaum,8360,3608,4615,137,960,20.6,17.5,20.7,27.5,41.2,17.3,6,9,0.3,0
TG,Telangana,Rangareddy,8159,8140,17,2,967,19.3,18.1,33.5,27.1,54.9,10.4,7.9,4.2,1.5,2.3
KA,Karnataka,Dharwad,8134,2520,5365,249,957,16,13.2,29.4,30.3,45.9,18.3,8.6,8.7,0.7,1.7
MH,Maharashtra,Satara,7944,2833,4864,246,1034,30.5,24.7,19.3,28.6,49.4,16.6,4.4,2.1,0.9,1.5
TN,Tamil Nadu,Kanniyakumari,7846,1495,6225,126,1110,12.3,6.9,42.5,34.6,44.6,11,9.3,12.5,0.5,2
RJ,Rajasthan,Jaipur,7823,2286,5296,241,920,22.7,21.3,17.4,14.6,27.1,8.8,3,6.2,0.9,0.2
TN,Tamil Nadu,Tirunelveli,7743,1348,6265,130,1124,18.9,17.3,29.5,30.2,59.5,26.6,7.6,9,0.4,1
PB,Punjab,Ludhiana,7577,2552,4761,264,862,9.2,10.3,35.5,29.4,65.2,32,5.3,6.8,0.4,2.2
TN,Tamil Nadu,Coddalore,7332,2851,4403,78,1026,19.3,14.9,29,22.1,59.8,21.8,4.9,9.9,0.4,1.2
PY,Puducherry,Puducherry,7330,3070,4165,95,1055,10.6,10,36.2,36.9,52.5,15,6.8,6.6,0.8,1.3
MH,Maharashtra,Sangli,7123,2760,4135,228,1005,21.1,19.3,28.4,29.7,51.2,19.5,6.1,8.9,0.4,1.5
JK,Jammu and Kashmir,Srinagar,7026,1396,5453,177,951,4.3,2.1,40.8,34.6,48.8,15.6,9.3,14.3,0.7,0.1
UP,Uttar Pradesh,Ghaziabad,6790,1071,5652,67,899,17.1,15.3,30.2,23.6,56.6,16.9,6.6,8.5,0.7,0.5
GJ,Gujarat,Vadodara,6602,1265,5226,111,944,29.1,25.6,22,20.7,49.2,18.5,6.5,6.5,0.7,0
UP,Uttar Pradesh,Gautam Buddha Nagar,6596,774,5779,43,844,14.2,15.2,29.8,23.9,57.6,17.5,4.7,8.6,0.7,0.7
TN,Tamil Nadu,Salem,6471,1917,4469,85,1000,12,10.8,29.4,34.3,55.2,26.1,8,14.1,0.2,0
RJ,Rajasthan,Alwar,6342,1518,4801,23,937,25.4,13.4,13,18,40.2,10.9,2.6,6.7,0.5,0
TN,Tamil Nadu,Tiruchirappalli,6113,966,5053,94,1048,17.9,15.4,31.3,28.7,65.7,25.2,8.1,12.6,0.8,1.6
UP,Uttar Pradesh,Varanasi,6030,2141,3761,128,951,23.8,21.5,18.1,14.1,50.8,19.3,4.5,3.7,0.6,0.3
CT,Chhattisgarh,Raipur,5893,2451,3356,86,1004,26.7,26,17.1,14.8,50.9,22.2,5.6,12.6,0.6,1.9
UP,Uttar Pradesh,Allahabad,5825,2182,3536,107,1034,20.6,27.1,18.1,13.3,55.5,28.8,3.3,2.8,0.6,0
KA,Karnataka,Davanagere,5798,1886,3783,129,951,22.7,18.5,25.8,20.1,46.9,18.9,6.5,13.2,1.3,2.4
UP,Uttar Pradesh,Gorakhpur,5764,2463,3213,88,1098,22.2,25.1,20,17.8,51.7,21.8,7.1,9.2,1.1,2.1
WB,West Bengal,Hugli,5672,1166,4413,93,1055,18.3,18.9,29.9,17.2,63.2,35.1,9.8,12.1,1,1.2
KL,Kerala,Malappuram,5554,2401,3136,13,999,8.8,6.5,34.1,33.4,38.6,12,10.2,14.1,0.5,0.7
MH,Maharashtra,Latur,5533,2582,2742,209,966,25.2,20,19.9,17.8,37.5,12.8,3.6,6.7,0.5,0.6
TN,Tamil Nadu,Viluppuram,5504,759,4694,51,1046,18.6,16.6,24.6,34.1,62.9,32.6,5.7,12.1,0.6,0.6
KA,Karnataka,Raichur,5370,1890,3416,64,1036,20.8,9.3,19.8,27.6,58.7,24.1,5.8,8.2,0.6,1.8
MH,Maharashtra,Dhule,5364,1427,3774,161,920,30.1,25.6,14,16.9,53.5,23.9,5.7,7.7,0.9,1.3
TN,Tamil Nadu,Thanjavur,5130,968,4082,80,1059,15.7,19.1,33.3,31,58.2,21.2,8.6,12.5,0.8,0.5
UP,Uttar Pradesh,Bareilly,5072,1795,3181,96,979,25.4,32.6,20.9,10.6,53.9,25.9,8.2,12.9,0.7,0
TN,Tamil Nadu,Dindigul,5063,894,4074,95,1019,14.1,10.6,26,24.4,51,22.8,6.3,5.6,1.4,0
JH,Jharkhand,Ranchi,5059,2507,2510,42,960,29.1,27.3,16,14.2,64.5,27.6,6.3,4,0.8,1.3
KA,Karnataka,Bijapur,5040,817,4163,60,966,19.5,11.4,18,16.2,41.9,20.5,3.9,5.4,0.7,0.8
AS,Assam,Dibrugarh,5023,2589,2409,25,1035,29.3,26,14.9,15.1,53.7,36.4,4.5,7.2,1.2,1.5
KA,Karnataka,Hassan,5019,1726,3154,139,1077,18.4,18.3,27.9,28.7,47,24.5,8.8,6.8,1,3.4
BR,Bihar,Muzaffarpur,4523,1200,3301,22,1059,33,30.5,10.5,19.3,52.4,34.5,3.7,14.1,0.5,0.8
KA,Karnataka,Bagalkot,4485,1079,3350,56,963,21.3,19.3,16.6,13.6,40.8,13.5,4,4.2,0.7,1.2
OR,Odisha,Cuttack,4469,1430,3017,22,992,19.2,15.3,28.5,25,37.8,18.4,11.5,13.5,1.2,0
TN,Tamil Nadu,Pudukkottai,4449,1370,3012,67,1087,23.5,17.6,24.7,21.2,54.7,21.3,7.2,15.4,0.3,0
KA,Karnataka,Shimoga,4436,2104,2256,76,1041,22.7,31.1,24.8,15.5,48.6,21.8,9,5.9,1.5,3.4
BR,Bihar,Bhagalpur,4414,970,3403,41,1015,26.2,23.8,12.4,9.2,61.6,41.4,3.9,3,0.4,0
PB,Punjab,Jalandhar,4388,1663,2619,106,953,7.4,8.7,26.9,27,53.9,22.4,5.7,6.8,0.3,0.7
BR,Bihar,Begusarai,4304,1409,2882,13,1044,31,25.1,9.9,12.5,59.3,31.6,2.4,4,0.7,0.5
MH,Maharashtra,Nanded,4259,2293,1823,143,1000,29.3,25.9,13.6,13.4,47.5,15.5,2.8,6.4,1.1,1.4
JH,Jharkhand,Purbi Singhbhum,4250,2161,1986,103,1001,20.2,14.8,16.4,13.9,66.6,35,5.1,7.9,0.7,0.6
AS,Assam,Cachar,4241,2726,1498,17,992,31.5,22.9,7.7,9.3,51,28.5,2,1.4,1.2,0.7
WB,West Bengal,Purba Medinipur,4147,1436,2676,35,991,19.4,8.3,20.9,19.2,59,27.2,8.4,14.1,0.6,0
PB,Punjab,Patiala,4135,1526,2522,87,903,9.6,5,35.5,40.6,40.9,17.6,5.4,5.3,1.1,1.8
TN,Tamil Nadu,Ramanathapuram,4113,494,3528,91,1101,19.2,14.4,32.7,27.1,50.3,18.6,6.5,8.7,0.9,0.3
AS,Assam,Nagaon,4040,1529,2506,5,1005,28.5,27.5,17.1,7,38.1,16.5,7.2,6.2,1.4,0.8
WB,West Bengal,Maldah,4032,879,3130,23,1019,23.9,15.4,12,12.5,59,24.3,7.9,13.2,1.2,0
KA,Karnataka,Yadgir,4013,1255,2732,26,977,27.4,17.5,12.9,10.9,47.7,13.8,6.8,8.4,0.6,1.5
BR,Bihar,Nalanda,3948,806,3117,25,1037,30.7,25.2,10.2,10.6,61.6,19.1,2.9,4,0.3,0.9
RJ,Rajasthan,Kota,3875,2058,1761,56,942,26.4,26.5,20.6,16.3,59.6,30.6,4.6,7.7,0.4,1.1
KL,Kerala,Ernakulam,3857,1477,2348,25,1076,7.3,7.4,34.5,38.9,37.6,6.9,8.7,17,0.6,0
BR,Bihar,Purba Champaran,3828,1519,2286,23,1064,28.9,24.9,10.2,10.9,54.7,24.1,5.8,10.8,0.5,0
MH,Maharashtra,Osmanabad,3813,1668,2043,102,961,21.9,20.6,19.4,21.5,36.4,15,4.6,6.5,0.7,0.8
BR,Bihar,Gaya,3812,772,3001,39,1076,36.1,23.1,11.1,17.9,61.8,25.7,4,5.1,0.6,0.7
KA,Karnataka,Koppal,3811,1261,2486,64,980,26.9,21.4,12,20.2,45.6,16.2,5.4,9.3,0.8,0.6
MH,Maharashtra,Amravati,3768,1080,2587,101,979,26.8,20.2,18.7,21.3,42.8,19.4,5.9,7.9,1.2,2.7
WB,West Bengal,Darjiling,3757,752,2952,53,992,15.4,8.6,23.6,21.1,48.3,9.3,3.8,7.7,1.6,2.8
KA,Karnataka,Bidar,3748,1057,2571,116,1018,26,24.8,15.9,17,44.3,19.2,3.9,7.2,0.4,0.8
AS,Assam,Kamrup,3748,1661,2074,13,1002,18.9,10.3,14.6,12.3,51.1,34.5,4,2.8,1,0
BR,Bihar,Rohtas,3739,723,2988,28,1029,26.9,28.4,15.5,9.5,62,14.7,5.1,5.3,0.7,0.6
BR,Bihar,Katihar,3727,1099,2624,4,1039,32.4,21.9,8,6.3,63.8,33.3,5.2,5.3,0.5,0.9
KA,Karnataka,Bangalore Rural,3651,722,2909,20,994,21.3,16.7,24.5,22.3,46.2,22.9,6.7,5.9,1.1,2.1
KA,Karnataka,Mandya,3554,1403,2112,39,1048,18.2,13.8,26.6,20.7,46.2,13.9,7.3,6.4,0.2,1.3
KL,Kerala,Alappuzha,3551,1459,2077,9,1101,12.4,12,37.7,22.1,27,15.3,10.1,14.2,0.4,0
KA,Karnataka,Tumkur,3548,1197,2250,101,1003,20.3,17.3,22.3,19.3,52.7,19.6,6.7,8.9,1,0.8
HR,Haryana,Sonipat,3532,352,3140,40,830,14.1,4.3,31.3,31.5,66.5,23.7,4.5,3.7,0.9,0.4
MP,Madhya Pradesh,Gwalior,3492,697,2770,25,887,22.2,24.5,14.1,11.1,57.4,35,3.6,5.7,0.4,0.7
RJ,Rajasthan,Bikaner,3480,653,2763,64,957,23.7,19.1,15.4,13.2,43,12,3.9,5.3,0.4,0.7
TN,Tamil Nadu,Sivaganga,3478,405,2986,87,1197,20.1,20.3,28.4,24.9,54,14.1,7,7.7,0.5,1.9
OR,Odisha,Sundargarh,3477,1181,2268,28,1041,27.2,15.2,13.6,13.8,71.4,39.6,5.6,8.9,0.9,1.4
BR,Bihar,Saran,3465,1005,2444,16,1075,23.9,23.7,18.1,18.5,53.9,22,5.6,8.7,1.2,1.6
GJ,Gujarat,Rajkot,3462,1549,1844,69,916,17.4,16.1,36.1,22.3,52.6,18.5,6.3,6.1,0.7,0
KA,Karnataka,Uttara Kannada,3441,919,2488,34,1056,31.7,29.9,20.4,16.5,41.9,12.4,6.1,12.8,1.1,1.2
RJ,Rajasthan,Pali,3440,330,3073,37,1056,32.6,21.1,14.5,13.3,49,16.8,3.7,2.1,0.5,0
KL,Kerala,Kasaragod,3401,914,2463,21,1041,13,8.6,27.5,24.4,35,7.9,7.7,9.8,1,1.4
AS,Assam,Tinsukia,3366,1550,1798,18,989,35.8,35.6,12.6,16,49.6,26.8,3.9,8.6,2.5,0.5
KL,Kerala,Palakkad,3364,952,2407,3,972,13.5,9.9,32.1,27,42.2,16.4,7.7,11.5,0.3,1.7
MH,Maharashtra,Jalna,3349,1337,1898,114,950,29.1,24.3,15.5,20.3,43.9,11.4,2.5,2.2,0.6,0
RJ,Rajasthan,Bharatpur,3341,440,2836,65,970,25.1,26,14.4,12.5,41.6,12.3,3.1,4.7,0.9,0.6
KA,Karnataka,Gadag,3341,1144,2138,59,964,21.1,15,11.7,24.2,41.1,19.4,3.6,6.4,1,0.5
AS,Assam,Jorhat,3338,1576,1752,10,980,29.8,18.3,10.6,10.4,42.6,20.6,5.6,8,1.2,3.1
KL,Kerala,Kozhikode,3319,1287,2010,18,1033,12.3,14.4,27.1,16.4,42.9,19.5,9.9,19.6,0.3,0
BR,Bihar,Madhubani,3300,1337,1959,4,1147,32,23.1,8.9,10.4,61.1,38.1,2.4,3.4,0.8,0
UP,Uttar Pradesh,Jhansi,3296,678,2531,87,946,23.9,15.8,16,9.9,55.1,13.7,4.5,4.2,0.4,0.9
MH,Maharashtra,Akola,3287,422,2723,141,975,25.1,18.9,20.6,18,38.7,20,5.3,8.9,1.3,1
UP,Uttar Pradesh,Ballia,3217,909,2274,34,1064,21.6,26.3,16.9,13.6,48.6,26.3,4.9,8,0.8,0
RJ,Rajasthan,Ajmer,3215,535,2618,62,953,24.7,18.7,16.8,18.5,53.4,12.7,5.7,7.1,0.2,1.1
UP,Uttar Pradesh,Moradabad,3200,871,2248,81,973,28.4,28.2,17.8,14.1,62,19.7,6.6,10.2,0.5,0.2
UT,Uttarakhand,Hardwar,3167,1137,2004,16,929,20.7,17.1,24,19.3,55.3,18.6,6.5,9.7,1.2,0.4
GA,Goa,South  Goa,3156,2120,958,78,1000,12.9,10,31.8,31.9,28.7,8.9,8.3,14.8,0.4,0
UP,Uttar Pradesh,Jaunpur,3127,488,2599,40,1115,29,21.3,14.7,16.1,51.7,23.1,3.9,4.4,0.7,0
UP,Uttar Pradesh,Meerut,3065,624,2318,123,930,18.8,19.1,29.9,19.9,59.9,16.5,6,6,0.8,0.3
BR,Bihar,Vaishali,3033,609,2402,21,1023,28.9,26.2,13.9,14.7,62.2,35.6,4.3,6.3,0.3,0
KA,Karnataka,Chikkaballapura,3019,543,2425,50,1023,24.8,24.7,22.9,20.8,54,22.8,6.6,5.6,0.3,1.5
MH,Maharashtra,Ratnagiri,3010,1283,1621,106,1134,31.7,26.9,16.6,23.4,47.3,20.6,5.8,10.6,0.6,0
BR,Bihar,Purnia,3006,811,2191,4,1091,38.8,32,8.7,7.5,68.8,33.6,4,4.2,0.4,0.6
BR,Bihar,Bhojpur,2939,705,2213,21,1033,24.1,18.7,14.4,13.7,61.1,37.7,4.2,7,0.5,1
BR,Bihar,Pashchim Champaran,2882,792,2075,15,936,27,26.2,13.6,13.9,58.5,26,4.2,6.2,0.8,0.7
PB,Punjab,Amritsar,2869,481,2273,115,916,11,6.4,30.3,33.1,53.3,24.4,4.9,5.6,1.1,2.7
MH,Maharashtra,Bid,2825,1797,961,67,933,22.9,27.8,18.6,13.8,36.5,9.9,4.9,0.9,0.7,0
BR,Bihar,Samastipur,2738,529,2194,15,1063,29.7,30.8,8.4,5.6,59.4,38.5,2.4,11.8,0.5,0
UP,Uttar Pradesh,Aligarh,2732,1016,1689,27,932,22.7,21.2,18.7,13.2,56.1,29.2,4.5,12,0.4,0.5
KL,Kerala,Kollam,2709,660,2035,11,1043,6.7,10.6,38.2,30.6,25.5,14.1,9.4,10.4,0.5,0.5
