State_Code,State,District,Confirmed,Active,Recovered,Deceased,"Sex ratio of the total population (females per 1,000 males)",Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2)14 (%),Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Women who are overweight or obese (BMI ≥ 25.0 kg/m2)14 (%),Men who are overweight or obese (BMI ≥ 25.0 kg/m2) (%),All women age 15-49 years who are anaemic (%),Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Women Blood sugar level - high (>140 mg/dl) (%),Men Blood sugar level - high (>140 mg/dl) (%),Women Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),Men Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%)
OR,Odisha,Dhenkanal,984,333,650,1,1026,25.6,23.3,18.8,16.2,39.4,31.3,8.7,16.3,0.3,0
LA,Ladakh,Leh(Ladakh),982,350,625,7,1035,5.2,7.5,19.2,29.8,33.6,5.1,2.1,1.8,0.5,2.2
HP,Himachal Pradesh,Solan,982,313,641,1,931,15.5,24.5,32.7,18.4,67.5,27.6,5.7,8.7,0.9,1.1
UP,Uttar Pradesh,Fatehpur,979,286,677,16,1008,31,22.1,10,9,40.2,22.8,2.2,4.6,0.9,0
UP,Uttar Pradesh,Mau,978,284,687,7,1092,25.8,36.1,15.1,12.7,53.3,24.5,4.8,9.4,1.2,0.7
ML,Meghalaya,East Khasi Hills,971,444,524,3,1027,12.8,16.1,16.7,8.2,46.8,15.8,5.4,11.1,0.9,0.6
HR,Haryana,Bhiwani,967,98,861,8,980,21.4,19.8,22.1,23.6,64.8,14.2,4.3,4.6,0.5,1.2
UP,Uttar Pradesh,Jalaun,959,189,757,13,928,22,18.8,11.2,9.4,61.8,30.5,2.8,3.6,0.3,0
GJ,Gujarat,Kachchh,954,303,623,28,944,23.7,21.1,19.9,20.4,62.5,24,4.5,5.5,0.4,1
GJ,Gujarat,Dohad,950,330,615,5,1104,44.1,44.9,9.8,8.9,56.3,16.9,7.4,1.5,1.1,0.6
AS,Assam,Nalbari,948,117,828,3,964,20.5,19.9,17.7,10.2,44.1,25.8,4.8,5,1.3,2
MP,Madhya Pradesh,Neemuch,946,118,816,12,978,31.1,15.9,14.3,16.4,49.2,16.7,7.5,11.1,0.7,1.6
RJ,Rajasthan,Rajsamand,939,140,787,12,1001,28.6,26.6,12.5,6.7,62,23.2,4.4,3.5,0.4,0
GJ,Gujarat,Amreli,926,402,510,14,927,17.1,18.1,28.2,23.9,56,21.9,5.1,8.2,0.7,1
DN,Dadra and Nagar Haveli and Daman and Diu,Daman,905,174,723,1,647,11.8,11,31.8,30.9,60.3,24.9,5.2,9.4,0.6,0.4
OR,Odisha,Kendrapara,905,225,676,4,1129,24.3,28.4,16.4,8.9,42.3,35.2,7.6,10.5,0.2,2
MP,Madhya Pradesh,Sagar,901,156,705,40,939,24.1,29.3,14.1,8.4,39.7,15.2,9.5,11,1.1,1.4
PB,Punjab,Hoshiarpur,894,168,701,25,943,13.7,12.3,31,23.6,61.3,28.4,8,2.3,0.8,0
JH,Jharkhand,Kodarma,893,248,636,9,1062,32.5,27.4,8.9,7.8,61.8,29,4.6,7.2,0.5,0
UP,Uttar Pradesh,Budaun,882,250,626,6,981,30.9,33.7,14.2,9.3,47.8,28.2,4.3,5.2,0.5,0.6
GJ,Gujarat,Valsad,882,123,750,9,995,22.9,15,24.8,23,50.9,15.5,6.8,7.8,0.8,0.6
PB,Punjab,Moga,878,331,537,10,897,10.8,9.5,29.1,37.2,47.5,15.5,5,3.7,0.9,0.8
OR,Odisha,Kalahandi,870,352,516,2,1011,34.2,30.4,9.6,14.1,68.7,36.4,4.3,8.4,0.3,1.8
MN,Manipur,Imphal West,867,811,52,4,1095,7.6,9.9,30.7,23.4,29.1,12.9,9.1,9.5,1.4,0.5
JH,Jharkhand,Deoghar,841,137,695,9,958,38,26.9,7.7,11.7,55.9,18.7,7.7,9.2,0.5,0.6
UP,Uttar Pradesh,Farrukhabad,840,218,604,18,981,23.4,24.9,15.3,13.2,27,15.9,3.9,6,0.6,0.6
RJ,Rajasthan,Jhunjhunun,838,91,741,6,1020,19.3,17,17.3,17.1,38.3,6.2,2.4,2.4,0.8,1.9
GJ,Gujarat,Kheda,836,101,719,16,958,38.5,31,18,11.5,54.5,20.1,5.4,7.7,0.7,1.5
RJ,Rajasthan,Dungarpur,827,122,698,7,1009,38.1,23.1,6.2,5.7,73.2,26.8,4.6,5,0.3,0.8
MH,Maharashtra,Gondiya,820,230,580,10,1037,35.4,29.8,6.8,9.5,55.1,28.8,4.6,10.4,1.2,2.5
UP,Uttar Pradesh,Auraiya,813,228,577,8,944,22.8,31.4,11.8,10.2,67.4,42.2,2.5,1.3,0.5,0
GJ,Gujarat,Patan,805,39,731,35,945,30.2,30.6,17,15.3,59.6,27.2,6.1,7.1,1,1.2
JH,Jharkhand,Simdega,805,176,625,4,1034,30.4,29.3,4.4,1.1,78.2,41.5,4.6,12.7,0.4,0
JH,Jharkhand,Ramgarh,804,282,513,9,1000,28.8,24.3,12.8,11.2,67.6,30.4,4.9,8.7,0.3,0.7
UT,Uttarakhand,Tehri Garhwal,798,194,602,2,1161,18.1,16.2,5.3,5.9,44.6,10.2,4.4,9.6,0.3,0
JK,Jammu and Kashmir,Rajouri,790,97,690,3,1000,17.5,13,21,15.1,33.4,16.6,3.6,3.1,1.1,1.5
JH,Jharkhand,Pashchimi Singhbhum,787,208,570,9,1048,32.4,25.3,9.3,8.7,72.8,30.6,4.4,12.3,1.3,0.8
HR,Haryana,Sirsa,787,359,420,8,913,20.6,10.9,23,20.8,59.3,19.5,4.1,1.6,1,0.8
UP,Uttar Pradesh,Lalitpur,783,439,333,11,928,26.9,31,8.3,5.5,47.6,17.9,5.4,5.2,0.1,0
JH,Jharkhand,Garhwa,779,164,611,4,1013,31.8,28.3,7.5,9.7,60.1,28.4,2.7,3.4,0.7,3.8
MP,Madhya Pradesh,Khandwa (East Nimar),778,78,680,20,949,34.7,34.9,12.9,9.1,58.5,20.8,4.8,4.3,0.7,1.6
RJ,Rajasthan,Churu,774,72,698,4,1009,26.8,30.6,13.5,9.3,34.1,17.3,2.6,2.5,0.3,0.6
TR,Tripura,North Tripura,774,255,511,2,1024,28.7,24.3,13.7,8.4,52.8,19.4,5.5,5.9,0.2,0
UP,Uttar Pradesh,Baghpat,772,112,645,15,899,20.8,14.6,27,15.2,64.4,18.9,7.2,10.8,0.5,0
TR,Tripura,Dhalai,762,97,662,2,957,15.6,13.9,13.5,15.4,56.4,28.8,5.2,9.1,0.6,0
AS,Assam,Udalguri,758,90,666,2,981,20,12.5,10.1,11.6,54.8,32.2,3.5,7,1.1,2.6
GJ,Gujarat,Navsari,756,123,627,6,1036,29.5,35.9,23.1,17,52.1,26.8,6.4,14.8,1.8,3.5
HR,Haryana,Yamunanagar,742,362,366,14,867,16.2,6.1,19,21.2,57.1,33.7,4.9,6.1,0.3,0.8
UP,Uttar Pradesh,Kanpur Dehat,733,347,379,7,885,26.6,33.7,11.5,4.6,62.8,21.9,2.3,3.4,0.1,0.7
PB,Punjab,Barnala,718,430,275,13,873,13.2,7.3,32.4,24.4,42.7,32.3,5.8,10.6,1.4,1
MP,Madhya Pradesh,Ratlam,716,140,560,16,975,33.7,35.9,15.6,7,54.4,23,5.9,8,2.2,0.6
PB,Punjab,Fatehgarh Sahib,703,195,494,14,927,13.7,12.3,41,36.5,53.3,31,6,9.2,0.4,1.1
JH,Jharkhand,Bokaro,698,222,471,5,975,30.7,20.3,12.1,14.2,72.4,39.5,5.5,8.7,0.6,1.9
CT,Chhattisgarh,Raigarh,691,374,312,5,985,28.4,18.8,12.3,12.2,41.6,25.7,8.7,15.8,0.6,0.6
RJ,Rajasthan,Chittaurgarh,682,281,395,6,968,28.7,23.5,17.6,12.8,60.3,26.6,3.9,5.5,1.3,0.8
MH,Maharashtra,Sindhudurg,678,215,450,13,1001,29.6,17.2,20.8,20.7,44.4,18.2,8.6,12.1,0.8,1.6
JK,Jammu and Kashmir,Kathua,677,105,571,1,905,15.9,15,24.6,19.2,38.1,20.8,4.3,7.8,0.4,0.9
JK,Jammu and Kashmir,Udhampur,662,103,557,2,979,19.2,21.5,20.3,14.1,50.3,35.2,3.7,2.3,0.5,0
AS,Assam,Goalpara,658,38,568,1,986,24.2,15.3,11.6,13.4,49.7,29,3.1,4.3,0.8,0.6
JH,Jharkhand,Godda,654,58,593,3,1031,35.6,23.7,6.9,7.2,71.6,26.6,4.9,11.4,0.9,0.8
UP,Uttar Pradesh,Balrampur,651,278,362,11,1077,27.1,23.1,11.3,12.9,55.8,30.1,8.2,12.4,1.4,0.8
PB,Punjab,Kapurthala,649,249,376,24,958,10.4,16.6,38.8,31.6,56.6,28.3,7.7,14.7,0.6,1.4
GJ,Gujarat,Anand,646,28,604,14,962,36,30.3,19.4,17.9,50.4,21.5,5.5,8.7,1.3,1.3
PB,Punjab,Faridkot,646,245,397,4,888,10.9,3.7,24.5,13.1,42.4,47.2,6.6,3,1.2,0.4
HR,Haryana,Mewat,644,45,586,13,932,27.1,30.4,12.2,13,70.1,23.6,4.4,4.2,0.5,0
JH,Jharkhand,Saraikela Kharsawan,644,321,319,4,947,34.8,23.9,12.4,17.6,78.8,38.7,7.5,14,1.4,0
AS,Assam,Morigaon,638,79,557,2,1016,28.1,28.1,11,7.5,41.4,19.9,7.5,8.2,1.3,0.8
AS,Assam,Karbi Anglong,632,75,552,5,982,17.3,12.2,13.8,11.2,39.1,16.3,4.3,8.8,1.2,3
UP,Uttar Pradesh,Kaushambi,630,164,459,7,1024,34.3,28.9,8.4,9.1,58.4,24.7,2.5,6.1,0.3,0
JK,Jammu and Kashmir,Ramban,629,27,601,1,978,14.7,10.5,17.8,16.6,34.1,24.8,2.7,0.6,2.1,0.6
UP,Uttar Pradesh,Etah,621,246,364,11,940,23.5,24.7,17.4,11,36.5,10.3,2.1,3.8,0.3,1.1
HP,Himachal Pradesh,Kangra,620,113,501,4,1107,18.8,18.1,28.2,20.5,59.7,18.3,7.3,6.9,0.6,0
CT,Chhattisgarh,Janjgir Champa,607,62,539,6,1038,27,19.8,13.9,7.4,39.9,8.6,7.3,8.9,0.5,0.6
MP,Madhya Pradesh,Dhar,606,112,482,12,988,30.4,27.2,12.1,12.7,56.2,20.5,4.9,3.8,0.5,2.6
GJ,Gujarat,Sabarkantha,605,101,496,8,957,37.1,25.6,12.9,18.1,67.2,35.5,4.6,5.6,0.6,1.4
MP,Madhya Pradesh,Mandsaur,604,99,493,12,983,31.1,34.9,14.1,12.4,50.2,25.8,7,11.3,1.5,1.4
WB,West Bengal,Puruliya,598,190,407,1,983,47.5,24.5,4.7,8.7,80,44.9,4.7,3.9,0.6,0.7
JK,Jammu and Kashmir,Samba,589,175,413,1,1019,16.6,16,35.3,24.4,37.1,8.4,6.9,6.3,0.7,1.2
MH,Maharashtra,Bhandara,588,207,376,5,1020,33.3,29.9,14.5,10.7,52.7,28,4.7,9.3,0.3,0.8
BR,Bihar,Sheohar,587,136,450,1,1143,33.1,25.1,9.6,12.1,55,21.2,6.2,7.7,1,1
OR,Odisha,Jharsuguda,584,149,434,1,986,27.9,27.3,18.6,16,69.2,34.1,8.4,11.2,0.2,0.9
MP,Madhya Pradesh,Vidisha,583,145,426,12,916,28,35.9,11.3,4.4,44.2,22.9,8.1,8.6,1.2,2.6
MP,Madhya Pradesh,Rajgarh,578,181,385,12,956,37.5,29.5,7.2,6.6,50.3,18.7,2.7,3,0.3,0
PB,Punjab,Tarn Taran,578,180,371,27,914,13.7,16.8,30.2,24.4,45.9,34.5,7.7,8.8,0.7,3.1
JH,Jharkhand,Gumla,577,227,348,2,1067,27.5,24.3,7.6,8.2,69.6,35.9,3.5,4.8,1.2,0.8
UP,Uttar Pradesh,Ambedkar Nagar,566,182,368,16,1094,30.4,29.8,12.2,9.2,55.6,23.9,2.9,4.3,1,0.6
HR,Haryana,Fatehabad,564,152,408,4,908,22.2,13.2,15.1,17.8,65.4,32,3.9,4,0.5,0.5
OR,Odisha,Nabarangapur,562,165,394,3,1036,36.1,26.4,6.8,7.8,71.5,41.4,6.3,8.4,0.7,1.3
OR,Odisha,Anugul,556,165,388,3,935,21.8,22.1,17.6,17.4,44,27,5.9,9.6,1.2,2.1
MP,Madhya Pradesh,Dewas,549,81,453,15,964,28.7,23.5,14.6,16.8,47.8,19.9,4.9,6.5,0.7,0.5
MH,Maharashtra,Gadchiroli,540,103,436,1,968,27.9,19.6,6.5,11,51.7,31.9,4,4.4,0.4,0.5
MP,Madhya Pradesh,Rewa,539,127,403,9,995,23.2,25.8,15.4,14.1,40.9,23.3,3.7,5.3,0.1,0
PY,Puducherry,Karaikal,537,163,368,6,1108,15.3,10.7,38.6,38.4,57,19.6,9.5,12.1,0.2,0.8
PB,Punjab,Rup Nagar,537,150,378,9,950,13.1,17.3,43.6,17.5,74.5,26,7.3,4.2,1.4,0.7
HR,Haryana,Kaithal,531,200,328,3,889,15.3,16.1,25.3,25,59.8,13.6,4.8,5.6,0.4,1.3
AS,Assam,Sivasagar,529,53,473,3,994,31,32.4,13.9,15.4,35.2,15.3,7.5,8.1,1.5,1.2
MP,Madhya Pradesh,Bhind,528,23,502,3,855,29.6,29,12.1,11.7,66,35.3,1.9,3.2,0.1,0
MP,Madhya Pradesh,Burhanpur,519,22,472,25,951,28.4,22.9,16.3,12.2,66.3,32.4,4.8,4.2,0.7,0.8
HP,Himachal Pradesh,Sirmaur,516,137,371,1,1015,19.3,19.1,25.2,27.6,48,14.8,6.5,5.7,1,0.8
MP,Madhya Pradesh,Raisen,512,100,400,12,903,29.5,38.2,14.2,7.1,50.7,21.1,2.9,7.5,0.4,0.6
RJ,Rajasthan,Tonk,511,115,391,5,987,32.7,33.8,10.5,9.7,62.5,23.4,2.6,9.9,0.4,0
AS,Assam,Dhemaji,502,61,440,1,1014,17.2,11.3,12.4,13.5,39.8,15.6,6.4,10.3,1.6,1.6
MP,Madhya Pradesh,Sehore,501,142,343,16,927,26.6,29.3,14.4,12.9,46.9,20.1,2.4,5.5,0.1,1.2
PY,Puducherry,Yanam,501,128,351,22,1044,11.9,14.1,36.2,35.8,43.7,14.1,7.6,4,0.6,0
RJ,Rajasthan,Karauli,492,145,340,7,988,32.2,40.1,10.2,7.5,38.1,14.4,3.1,4.5,0.5,1.3
MP,Madhya Pradesh,Shivpuri,492,117,371,4,910,31.4,33.4,9.5,4.2,49,19.6,4.6,6.8,0.2,0
MN,Manipur,Thoubal,491,464,23,4,1062,9.7,14.4,25.8,20.7,28.3,9.2,6.1,4.9,1,1
PB,Punjab,Sahid Bhagat Singh Nagar,489,114,363,12,1011,13.3,14.8,35.7,27.7,64.8,43.6,5.7,2.9,0.6,0
UT,Uttarakhand,Uttarkashi,489,267,221,1,1031,16.9,16.4,11.5,11.3,52.6,23.8,4.5,10,0.2,0.6
AS,Assam,Baksa,487,38,447,2,1046,17.8,16.5,15.2,7.2,53.4,34.8,5.5,7,1.8,3.4
RJ,Rajasthan,Ganganagar,483,187,289,7,929,21.1,13.9,20.5,24.4,34.8,8.9,5.3,4.4,0.5,0.5
JH,Jharkhand,Chatra,482,125,356,1,1046,37.3,33.3,6.6,10.2,56.6,29.5,3.6,6.2,0.6,2.1
UP,Uttar Pradesh,Banda,475,135,334,6,908,23,20.2,8.3,10.5,54.5,20.2,1.3,4,0.4,0
TR,Tripura,South Tripura,469,59,403,4,1000,19.4,15.3,13.6,17,54.3,31.5,8.5,11.7,0.9,0
JH,Jharkhand,Khunti,465,239,224,2,974,25.5,16.4,5.1,4.7,64.1,42,5.7,8.4,0.9,1.4
MP,Madhya Pradesh,Chhatarpur,462,67,384,11,919,28.2,31.1,10.4,6.7,48.1,19.1,5.3,10.1,0.6,0
UP,Uttar Pradesh,Shrawasti,461,177,277,7,1042,24.6,25.6,9.4,7.9,48.7,32.4,7.5,11.9,0.8,0
PB,Punjab,Muktsar,460,145,311,4,860,14.6,13.2,26.5,21.2,47.9,25.3,5.9,7.7,0.6,0.5
JH,Jharkhand,Sahibganj,459,226,227,6,977,31.5,24,7.7,10.6,61.9,21.8,4,7,1.2,0.9
MP,Madhya Pradesh,Damoh,451,148,295,8,917,27.1,35.4,13,6.2,45.5,23.9,8.3,5.2,0.3,0
UP,Uttar Pradesh,Hamirpur,445,65,369,11,945,28.3,24.7,6.7,6.1,51.8,30.2,2.2,5.2,0.6,0.5
CT,Chhattisgarh,Bastar,442,206,234,2,1082,37.1,31.3,6.3,5.3,67.6,42,6.4,10.2,1,0.7
RJ,Rajasthan,Dausa,436,72,359,5,1016,29.6,21.3,10.2,9.6,27.1,8.8,2.5,7.2,0.7,0
HP,Himachal Pradesh,Hamirpur,416,60,352,4,1225,13.6,14.2,30.9,31.5,35.8,8.4,5.8,7,1.1,3.3
MP,Madhya Pradesh,Datia,408,80,323,5,893,32.3,40.3,10,3.5,60.3,27.5,3.7,4.1,0.4,0
AS,Assam,Kokrajhar,408,50,353,5,1009,21.7,18.1,11.9,13.9,51,23.1,6.2,7.8,2.1,0.9
RJ,Rajasthan,Bundi,401,269,131,1,930,33.5,23.8,10.9,10.5,63.7,26.9,4.3,7,0.4,0
MP,Madhya Pradesh,Hoshangabad,401,108,279,14,928,23,18.5,14.7,7.8,55.8,35,3,6.5,0.5,0.3
UP,Uttar Pradesh,Mahamaya Nagar,399,57,336,6,921,22.6,22.9,20,16.2,39.2,11.2,4.7,5.3,0.5,1.4
MP,Madhya Pradesh,Betul,398,107,285,6,1010,27.2,21.5,12.2,6.8,54.1,37.5,4.1,5.3,0.7,0
JH,Jharkhand,Lohardaga,397,88,307,2,1037,34.9,25.7,8,12,66.7,44.8,3.7,7.8,0.9,0
HR,Haryana,Jind,393,68,319,6,893,17,11,17.5,14.5,62.7,21.5,3.1,3.5,0.4,0
OR,Odisha,Subarnapur,393,206,186,1,1037,32.2,18,13.8,13,69.2,34.4,4.6,10.5,0.2,0
MH,Maharashtra,Wardha,393,141,241,10,947,29.4,20,17,14.4,42.5,24.8,4.2,3.9,0.5,0
RJ,Rajasthan,Banswara,387,168,215,4,983,33.3,32.3,9,8.7,76.3,43.2,4.5,7.1,0.3,0
RJ,Rajasthan,Baran,386,168,206,12,959,30.7,25.8,9.7,7.6,66.3,27.6,3.9,9.2,0.6,0.7
RJ,Rajasthan,Sawai Madhopur,385,130,242,13,1001,30,24.4,11.2,13.5,38.5,11.6,3.4,4.4,0.4,0
UT,Uttarakhand,Almora,384,41,340,2,1259,24.8,32.5,9.2,13.7,32.9,20.4,4.8,5.4,0.2,1.2
UP,Uttar Pradesh,Mahoba,369,61,305,3,943,35,26.5,8.6,11.9,64.8,16.4,3.6,6.5,0.4,0
MP,Madhya Pradesh,Shajapur,367,64,297,6,906,29.4,28.9,11.6,10.5,52.8,33,4.2,4.9,0.3,0.6
MP,Madhya Pradesh,Sheopur,365,105,258,2,945,43.9,39.2,6.4,5.7,61.6,33.4,3.6,5.7,0.4,0.6
UP,Uttar Pradesh,Chitrakoot,364,69,293,2,1034,33.1,38.4,7.3,3.5,67.7,31.7,2.4,5.4,0.1,0.8
MP,Madhya Pradesh,Tikamgarh,356,19,327,10,909,30.8,31.2,8,6.7,45.8,20,6.5,6.8,0.9,0
MP,Madhya Pradesh,Satna,350,114,224,12,993,22.2,25.5,15.9,12.6,48.8,24.3,6.2,5.8,0.3,0.9
JK,Jammu and Kashmir,Doda,347,46,299,2,1033,14.6,14.6,18.7,15.7,20.7,10.9,3.2,3.1,1.9,3.2
CT,Chhattisgarh,Surguja,346,90,254,2,1024,35.9,27.8,8.6,7.5,35.1,14.7,3.8,6.7,1.6,0.7
UT,Uttarakhand,Garhwal,341,71,257,4,1210,16.6,18.4,17.5,14,42.4,6.8,7.1,5.4,0,0
MP,Madhya Pradesh,Katni,341,102,233,6,996,27.2,21.4,16,14.7,52,18.9,9.4,8.6,1.1,1.8
JK,Jammu and Kashmir,Punch,332,75,255,2,978,14.3,19.7,21.1,17,28.2,12.6,3.4,3.5,1,0.7
HP,Himachal Pradesh,Mandi,331,126,199,6,1167,15.2,15.4,23.9,15.8,39.7,16.3,3.6,4,0.8,0.7
MP,Madhya Pradesh,Jhabua,327,126,197,4,969,30.4,32.6,9.9,6.4,58.8,32.1,5,8.4,0.5,1
MP,Madhya Pradesh,Alirajpur,318,119,197,2,1023,35.8,35.9,7.2,8.1,64.4,48.5,4,7.4,0.8,0
MP,Madhya Pradesh,Chhindwara,318,97,218,3,950,29.1,22.5,14,12,52.1,21.2,4.7,8.4,0.4,0.8
RJ,Rajasthan,Pratapgarh,308,113,191,4,982,35,16.9,7.8,9.5,63.3,26.2,3.6,5.1,0.8,0
MN,Manipur,Imphal East,307,288,16,3,1057,9.7,14.3,30.8,22.2,27.3,9.1,8,11.3,0.7,2
RJ,Rajasthan,Hanumangarh,302,61,240,1,928,23,15.8,14.8,12.1,33.9,6.3,3.7,7.8,0.6,0.5
PB,Punjab,Mansa,296,123,172,1,908,18.7,16,24.4,19.7,49.4,18.6,5.3,6,0.7,1.2
MP,Madhya Pradesh,Singrauli,296,156,134,6,984,19.4,15,11,12.3,52.6,35.1,4.8,5,0.6,0.6
RJ,Rajasthan,Jaisalmer,292,40,250,2,916,25.8,21.9,12.8,9.7,33.6,14.8,1.9,3.1,0.1,0.7
MP,Madhya Pradesh,Narsimhapur,290,46,242,2,901,25.1,25,15.4,14.8,49.6,16.4,8.9,10.1,1.4,0
MP,Madhya Pradesh,Harda,289,56,227,6,922,22.3,28.4,16.3,12.4,51.3,29.1,5,8.2,0.7,1
CT,Chhattisgarh,Mahasamund,282,89,188,5,1049,28.6,22.6,7.8,8.5,49.5,25.1,6.5,13,0.7,1.5
HP,Himachal Pradesh,Shimla,248,62,183,2,997,14.1,15,33.2,30.2,68.6,30.6,6.8,8.6,0.6,2
MP,Madhya Pradesh,Shahdol,225,106,118,1,973,29.1,29.9,12.3,8.2,60.5,34.3,5,7.9,0.4,0
UT,Uttarakhand,Champawat,223,102,119,2,1154,20.6,21.6,17.1,19.3,35.6,16.1,8,10.7,0.2,1.8
MP,Madhya Pradesh,Sidhi,221,109,111,1,1005,27,32.9,10.3,7.1,50.5,20.6,4.6,9.6,0.3,0
UT,Uttarakhand,Pithoragarh,215,42,171,2,1069,13.5,8.2,19,18.3,34.5,10,6.4,9.2,0.9,0
GJ,Gujarat,Tapi,215,19,193,3,1064,43.4,33.5,8.8,7,54.4,19.7,6,9.5,0.7,0.9
GJ,Gujarat,Porbandar,214,48,162,4,941,14,14.9,24.8,15.1,59.2,20.8,4.8,7.4,0.6,2
MP,Madhya Pradesh,Balaghat,213,50,162,1,1067,42.4,39.9,7.4,2.1,68.6,38.8,4.6,6.9,0.2,0
AR,Arunachal Pradesh,West Kameng,212,156,54,2,946,7.2,7.5,33.2,20.3,24.5,4.4,3.1,3.1,2.9,0
UT,Uttarakhand,Bageshwar,191,34,156,1,1144,24.9,13.8,10.2,16.5,41.3,15.9,4.3,12.6,0.9,2.2
AR,Arunachal Pradesh,East Siang,191,80,110,1,954,4.8,5.5,22.5,38.2,32.8,15.6,8.1,9.1,2.5,5.3
CT,Chhattisgarh,Korea,187,40,145,2,1010,24.7,10.1,11.1,13.6,36.6,16.7,4.5,4.1,1.2,1.4
ML,Meghalaya,Ribhoi,180,103,74,3,1007,16.7,16.6,10.5,6.5,68,32.3,3.3,3.9,0.5,1.5
CT,Chhattisgarh,Dakshin Bastar Dantewada,177,29,146,2,1021,40.6,25,4.9,2.2,74.5,43.7,5.1,7.4,0.8,0.7
MP,Madhya Pradesh,Guna,165,71,87,7,916,34.2,39,10.9,5.8,46.2,17,2.8,3,0.5,0.4
UT,Uttarakhand,Rudraprayag,152,60,91,1,1169,14.8,17.3,12.4,10.7,38.4,10.1,3.9,4.5,0.1,0
MN,Manipur,Bishnupur,150,91,58,1,1032,11,12.7,24.5,21.7,26.8,9.8,6,11.1,0.8,0.6
MP,Madhya Pradesh,Ashoknagar,145,24,117,4,889,30.1,36,10,6.4,42.3,23.1,1.8,2.6,0.5,0.5
MP,Madhya Pradesh,Seoni,137,67,66,4,1031,32.4,23.5,8.7,15.2,55.3,21.5,6,7,0.5,1
CT,Chhattisgarh,Bijapur,134,47,86,1,1006,20.1,12.9,2.4,7.7,68.7,29,4,5.1,0.3,0
MP,Madhya Pradesh,Mandla,99,46,52,1,1053,34,34.1,7.6,6.4,69.9,37.6,4.6,5.9,0.9,1.3
CT,Chhattisgarh,Dhamtari,80,17,62,1,1017,29.8,27.4,10,6.8,55.2,31.4,4.8,11.6,0.8,0.6
MP,Madhya Pradesh,Umaria,80,34,44,2,1006,29.3,36.4,9.6,3.2,61.5,37.4,4.7,2.6,0.6,1.4
MN,Manipur,Chandel,74,67,4,3,1062,6.2,8.1,24.4,15.3,23.5,11.8,6.1,8.4,0.7,0
DL,Delhi,North West,32,31,0,1,834,14.5,28.2,36.4,16.4,51.1,29,7.6,8.2,0.5,0
